name,category,desc,qty,price,cost,Status,shop name,Creator,Actions,Created,,
twin deep patress box,patress box,y,29,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Wallbrackets small complete,Wallbrackets,y,17,2500,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Wallbrackets big glass,Wallbrackets,y,5,1000,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Wallbrackets big complete,Wallbrackets,y,5,3500,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Wallbrackets vell max,Wallbrackets,y,2,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Wallbrackets glass,Wallbrackets,y,2,2500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Wallbrackets 2 in 1 LED,Wallbrackets,y,5,3000,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
32mm2 bends,normal bendes,y,36,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
2omm normal bends,normal bendes,y,8,30,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
charger head small,charger,y,3,300,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
charger head big,charger,y,3,400,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
BT Speaker,BT Speaker,y,3,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
charger cable,charger cable,y,11,200,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Flourecent starters,Flourecent starters,y,11,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
VGA cable,cable,y,1,3000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
5*30mm2 cable ties,cable ties,y,2,300,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
RCA cable 3 pin,cable ties,y,40,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
RCA cable 3 pin and jackpin,cable ties,y,38,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
itel travel charger,travel charger,y,1,300,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
UK travel charger,travel charger,y,1,300,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Bt travel charger,travel charger,y,1,400,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Fast travel charger,travel charger,y,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Car charger excellent,travel charger,y,1,400,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
fixed set allan key,allan key,y,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
wireless earphone hifi,earphone,y,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
wireless earphone 2 in 1 sport,earphone,y,3,700,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
wireless stereo earphone,earphone,y,1,700,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
normal earphone,earphone,y,8,200,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Hacksaw blue(eclipse),Hacksaw blades,y,35,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Hacksaw red(sand flex),Hacksaw blades,y,13,150,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
emptop pliers,pliers,y,5,700,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
jetech pliers 8mm,pliers,y,2,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
smithmo pliers,pliers,y,2,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
long nose,pliers,y,2,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
side cutter,pliers,y,3,350,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
prunning shears,pliers,y,3,1200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
25mm2 circular boxes (4ways),boxes,y,71,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
25mm2 saddle clips (metal),clips metal,y,100,15,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
20mm2 saddle clips (metal),clips metal,y,100,10,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
32mm2 saddle clips (metal),clips metal,y,120,20,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
tester (small),tester,y,18,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
fridge bulb,bulb,y,9,200,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
photocell zodion,photocell,y,3,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
photocell linier,photocell,y,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
motion senser linier,motion senser,y,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
motion senser betric,motion senser,y,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
motion senser bently,motion senser,y,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
single blanking gold,single blanking,y,9,700,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Twin socket Gold,socket,y,4,1200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
4g 2way switch Gold,switch,y,5,1000,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
2g 2way switch Gold,switch,y,5,800,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
1g 2way switch Gold,switch,y,2,700,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
TV outlet,TV outlet,y,3,1200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
TV outlet wooden,TV outlet,y,2,1200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
bell push Gold,bell push,y,1,1200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
single banking linier,single banking,y,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
2g 2way switch wooden,switch,y,2,800,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
dimmer switch wooden vip,switch,y,2,1200,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
float switch,switch,y,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
iron element,element,y,1,600,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
head phones shuer,head phones,y,2,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
head phones P47,head phones,y,1,1000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Motion seanser (Square VIP),Motion seanser,y,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
mirror lights,lights,y,5,1500,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
mouse extender,mouse extender,t,2,400,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
screw driver 7in1 rachet,screw driver,t,1,2000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
mem reader,mem reader,t,19,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
screw driver terminator small green,screw driver,t,16,1000,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
screw driver stanley yellow/black flat,screw driver,t,2,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
odinary driver,screw driver,t,12,300,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
insulated driver,screw driver,t,4,300,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Rubber grip orange/black drivers,screw driver,t,3,100,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
Rubber grip yellow/black drivers,screw driver,t,1,100,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
AAA battery,battery,t,40,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
AA battery,battery,t,30,50,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
PVC gate valve 20mm2,pvc,t,1,400,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
pvc tee 11/4,pvc,t,7,100,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
pvc 2 bend,pvc,t,1,100,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
pvc 45 11/2 bend,pvc,t,1,50,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
pvc 11/2 bend,pvc,t,1,50,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
pvc 11/4 bend,pvc,t,1,40,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
pvc 45 11/4 bend,pvc,t,1,50,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
white plain socket 25mm,socket,t,1,50,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
white plain elbow 25mm2,elbow,t,1,100,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
non return 11/2 valve,elbow,t,1,1500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
wifi panorama,camera bulb,t,1,5000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
40amps ghisalba,contractors,t,1,3500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
25amps schneider,contractors,t,1,3000,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
100*100*70 (plastic),adaptors boxes,t,19,350,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
150*150*70 (plastic),adaptors boxes,t,1,500,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
85*85*50 (plastic),adaptors boxes,t,2,250,0,low,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
250ml Tangit glue,Tangit glue,t,18,500,0,Active,Touch & Light,koshtech,Edit,3-Mar,2024, 8:09 a.m.
